	0	0
0	12:30770001-30780000	0.0028426039859771263
1	1:60390001-60400000	0.0011803227831906405
2	12:67280001-67290000	0.0008969730613827204
3	15:57200001-57210000	0.0009052912890351231
4	7:74400001-74410000	0.004866158725628908
5	10:29290001-29300000	0.002288803279592509
6	4:38010001-38020000	0.0008823046387137379
7	1:26020001-26030000	0.0011672432875706445
8	9:58840001-58850000	0.003240189104784164
9	15:70560001-70570000	0.0015277308083663337
10	4:77750001-77760000	0.0055550121735277284
11	2:43690001-43700000	0.0012294471848512839
12	5:22010001-22020000	0.0029272306328740707
13	9:24090001-24100000	0.006347806804490024
14	13:77620001-77630000	-0.00024819219304489945
15	6:25100001-25110000	0.00025717735222299625
16	11:57070001-57080000	0.0029722257903518814
17	18:40170001-40180000	0.0010990009999700134
18	9:9960001-9970000	0.0009351783530732985
19	15:70030001-70040000	0.002694444328148163
20	7:5360001-5370000	-0.001109673833044013
21	10:29010001-29020000	-0.00011920288827527154
22	13:3860001-3870000	-0.0004415516619682645
23	13:31620001-31630000	-0.00012134387970496182
24	11:6480001-6490000	-0.00014982288359450838
25	8:14120001-14130000	-0.0031592707501218046
26	11:77250001-77260000	-0.0003986078857614876
27	12:17060001-17070000	-0.00021710408201530338
28	11:33950001-33960000	-0.0007542998948761628
29	17:52570001-52580000	-0.001459210941020201
30	11:30130001-30140000	-0.002244404144008495
31	4:43160001-43170000	-0.0011823002822422283
32	3:49610001-49620000	-0.00037392791952765023
33	9:93820001-93830000	-0.00240788059901142
34	7:13160001-13170000	-0.0008644630095119286
35	11:18850001-18860000	-0.00036602424652954396
36	11:32460001-32470000	-0.0021191799774555554
37	10:14300001-14310000	-0.0008251706576269075
38	1:76030001-76040000	-2.32036518451819e-05
39	11:114890001-114900000	-0.0010475567386860154
